Site,Charoen Pokphand Madiun
Periode,2026-04-14 s/d 2026-04-27

tanggal,inverter_name,string_number,daily_energy_kwh,daily_ghi_kwh_m2,pr_ghi_pct,pr_poa_pct,string_dc_kw_stc
2026-04-14,CPMAD-INV-05.,3,61.4965,6.344592,79.449,85.373,12.2000
2026-04-14,CPMAD-INV-05.,4,0.0000,6.344592,0.000,0.000,
2026-04-14,CPMAD-INV-05.,5,61.0025,6.344592,78.811,84.687,12.2000
2026-04-14,CPMAD-INV-05.,6,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-05.,7,56.2160,6.344592,72.627,78.042,12.2000
2026-04-14,CPMAD-INV-05.,8,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-05.,9,56.4807,6.344592,72.969,78.410,12.2000
2026-04-14,CPMAD-INV-05.,10,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-05.,11,57.3579,6.344592,74.102,79.628,12.2000
2026-04-14,CPMAD-INV-05.,12,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-05.,13,59.4248,6.344592,76.772,82.497,12.2000
2026-04-14,CPMAD-INV-05.,14,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-05.,15,61.1447,6.344592,78.994,84.885,12.2000
2026-04-14,CPMAD-INV-05.,16,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-05.,17,59.6032,6.344592,77.003,82.745,12.2000
2026-04-14,CPMAD-INV-05.,18,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-05.,19,59.9879,6.344592,77.500,83.279,12.2000
2026-04-14,CPMAD-INV-05.,20,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-05.,21,59.9504,6.344592,77.451,83.227,12.2000
2026-04-14,CPMAD-INV-05.,22,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-05.,23,59.3529,6.344592,76.679,82.397,
2026-04-14,CPMAD-INV-05.,24,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-06,1,59.1502,6.344592,76.417,82.116,12.2000
2026-04-14,CPMAD-INV-06,2,0.0000,6.344592,0.000,0.000,
2026-04-14,CPMAD-INV-06,3,60.4441,6.344592,78.089,83.912,12.2000
2026-04-14,CPMAD-INV-06,4,0.0000,6.344592,0.000,0.000,
2026-04-14,CPMAD-INV-06,5,58.5318,6.344592,75.619,81.257,12.2000
2026-04-14,CPMAD-INV-06,6,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-06,7,57.5616,6.344592,74.365,79.911,12.2000
2026-04-14,CPMAD-INV-06,8,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-06,9,59.6671,6.344592,77.085,82.833,12.2000
2026-04-14,CPMAD-INV-06,10,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-06,11,60.2425,6.344592,77.829,83.632,12.2000
2026-04-14,CPMAD-INV-06,12,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-06,13,58.4365,6.344592,75.495,81.125,12.2000
2026-04-14,CPMAD-INV-06,14,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-06,15,59.9929,6.344592,77.506,83.286,12.2000
2026-04-14,CPMAD-INV-06,16,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-06,17,61.0818,6.344592,78.913,84.797,12.2000
2026-04-14,CPMAD-INV-06,18,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-06,19,62.9357,6.344592,81.308,87.371,12.2000
2026-04-14,CPMAD-INV-06,20,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-06,21,62.9502,6.344592,81.327,87.391,12.2000
2026-04-14,CPMAD-INV-06,22,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-06,23,0.0000,6.344592,0.000,0.000,
2026-04-14,CPMAD-INV-06,24,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-07.,1,61.9242,6.344592,80.001,85.967,12.2000
2026-04-14,CPMAD-INV-07.,2,0.0000,6.344592,0.000,0.000,
2026-04-14,CPMAD-INV-07.,3,63.2162,6.344592,81.670,87.761,12.2000
2026-04-14,CPMAD-INV-07.,4,0.0000,6.344592,0.000,0.000,
2026-04-14,CPMAD-INV-07.,5,61.8691,6.344592,79.930,85.890,12.2000
2026-04-14,CPMAD-INV-07.,6,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-07.,7,61.9314,6.344592,80.011,85.977,12.2000
2026-04-14,CPMAD-INV-07.,8,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-07.,9,62.9167,6.344592,81.284,87.345,12.2000
2026-04-14,CPMAD-INV-07.,10,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-07.,11,62.0714,6.344592,80.191,86.171,12.2000
2026-04-14,CPMAD-INV-07.,12,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-07.,13,62.1639,6.344592,80.311,86.300,12.2000
2026-04-14,CPMAD-INV-07.,14,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-07.,15,62.7508,6.344592,81.069,87.114,12.2000
2026-04-14,CPMAD-INV-07.,16,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-07.,17,61.7513,6.344592,79.778,85.727,12.2000
2026-04-14,CPMAD-INV-07.,18,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-07.,19,61.2514,6.344592,79.132,85.033,12.2000
2026-04-14,CPMAD-INV-07.,20,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-07.,21,62.4099,6.344592,80.629,86.641,12.2000
2026-04-14,CPMAD-INV-07.,22,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-07.,23,61.6518,6.344592,79.649,85.589,
2026-04-14,CPMAD-INV-07.,24,0.0000,6.344592,,0.000,
2026-04-15,CPMAD-INV-01.,1,53.6866,6.040252,72.854,79.136,12.2000
2026-04-15,CPMAD-INV-01.,2,0.0000,6.040252,0.000,0.000,
2026-04-15,CPMAD-INV-01.,3,50.8683,6.040252,69.029,74.981,12.2000
2026-04-15,CPMAD-INV-01.,4,0.0000,6.040252,0.000,0.000,
2026-04-15,CPMAD-INV-01.,5,53.5008,6.040252,72.601,78.862,12.2000
2026-04-15,CPMAD-INV-01.,6,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-01.,7,53.8859,6.040252,73.124,79.429,12.2000
2026-04-15,CPMAD-INV-01.,8,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-01.,9,53.6530,6.040252,72.808,79.086,12.2000
2026-04-15,CPMAD-INV-01.,10,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-01.,11,54.5076,6.040252,73.968,80.346,12.2000
2026-04-15,CPMAD-INV-01.,12,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-01.,13,54.2387,6.040252,73.603,79.949,12.2000
2026-04-15,CPMAD-INV-01.,14,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-01.,15,54.9222,6.040252,74.530,80.957,12.2000
2026-04-15,CPMAD-INV-01.,16,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-01.,17,55.7680,6.040252,75.678,82.204,12.2000
2026-04-15,CPMAD-INV-01.,18,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-01.,19,54.9278,6.040252,74.538,80.965,12.2000
2026-04-15,CPMAD-INV-01.,20,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-01.,21,54.8101,6.040252,74.378,80.791,12.2000
2026-04-15,CPMAD-INV-01.,22,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-01.,23,0.0000,6.040252,0.000,0.000,12.2000
2026-04-15,CPMAD-INV-01.,24,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-02.,1,43.0742,6.040252,58.452,63.493,12.2000
2026-04-15,CPMAD-INV-02.,2,42.6768,6.040252,72.391,78.633,
2026-04-15,CPMAD-INV-02.,3,44.0155,6.040252,59.730,64.880,12.2000
2026-04-15,CPMAD-INV-02.,4,44.0561,6.040252,74.731,81.175,
2026-04-15,CPMAD-INV-02.,5,38.5788,6.040252,52.352,56.866,12.2000
2026-04-15,CPMAD-INV-02.,6,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-02.,7,43.4682,6.040252,58.987,64.073,12.2000
2026-04-15,CPMAD-INV-02.,8,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-02.,9,43.9149,6.040252,59.593,64.732,12.2000
2026-04-15,CPMAD-INV-02.,10,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-02.,11,41.1868,6.040252,55.891,60.710,12.2000
2026-04-15,CPMAD-INV-02.,12,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-02.,13,40.9417,6.040252,55.559,60.349,12.2000
2026-04-15,CPMAD-INV-02.,14,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-02.,15,36.8333,6.040252,49.983,54.293,12.2000
2026-04-15,CPMAD-INV-02.,16,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-02.,17,44.4952,6.040252,60.381,65.587,12.2000
2026-04-15,CPMAD-INV-02.,18,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-02.,19,37.5511,6.040252,50.957,55.351,12.2000
2026-04-15,CPMAD-INV-02.,20,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-02.,21,45.1520,6.040252,61.272,66.555,12.2000
2026-04-15,CPMAD-INV-02.,22,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-02.,23,45.4504,6.040252,61.677,66.995,12.2000
2026-04-15,CPMAD-INV-02.,24,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-03,1,54.9275,6.040252,74.538,80.965,12.2000
2026-04-15,CPMAD-INV-03,2,0.0000,6.040252,0.000,0.000,
2026-04-15,CPMAD-INV-03,3,55.6499,6.040252,75.518,82.029,12.2000
2026-04-15,CPMAD-INV-03,4,0.0000,6.040252,0.000,0.000,
2026-04-15,CPMAD-INV-03,5,53.6785,6.040252,72.843,79.123,12.2000
2026-04-15,CPMAD-INV-03,6,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-03,7,54.8506,6.040252,74.433,80.851,12.2000
2026-04-15,CPMAD-INV-03,8,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-03,9,54.2649,6.040252,73.638,79.988,12.2000
2026-04-15,CPMAD-INV-03,10,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-03,11,53.5778,6.040252,72.706,78.975,10.9800
2026-04-15,CPMAD-INV-03,12,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-03,13,52.7228,6.040252,71.546,77.715,10.9800
2026-04-15,CPMAD-INV-03,14,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-03,15,52.3779,6.040252,71.078,77.206,10.9800
2026-04-15,CPMAD-INV-03,16,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-03,17,53.7098,6.040252,72.885,79.170,12.2000
2026-04-15,CPMAD-INV-03,18,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-03,19,55.2327,6.040252,74.952,81.414,12.2000
2026-04-15,CPMAD-INV-03,20,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-03,21,58.1244,6.040252,78.876,85.677,12.2000
2026-04-15,CPMAD-INV-03,22,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-03,23,54.5056,6.040252,73.965,80.343,12.2000
2026-04-15,CPMAD-INV-03,24,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-04.,1,59.5595,6.040252,80.823,87.792,9.7600
2026-04-15,CPMAD-INV-04.,2,0.0000,6.040252,0.000,0.000,9.7600
2026-04-15,CPMAD-INV-04.,3,58.4245,6.040252,79.283,86.119,9.7600
2026-04-15,CPMAD-INV-04.,4,0.0000,6.040252,0.000,0.000,9.7600
2026-04-15,CPMAD-INV-04.,5,59.8897,6.040252,81.271,88.279,8.5400
2026-04-15,CPMAD-INV-04.,6,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-04.,7,59.2970,6.040252,80.467,87.405,9.1500
2026-04-15,CPMAD-INV-04.,8,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-04.,9,58.6288,6.040252,79.560,86.420,9.1500
2026-04-15,CPMAD-INV-04.,10,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-04.,11,57.0896,6.040252,77.472,84.152,8.5400
2026-04-15,CPMAD-INV-04.,12,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-04.,13,58.2736,6.040252,79.078,85.897,8.5400
2026-04-15,CPMAD-INV-04.,14,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-04.,15,58.0256,6.040252,78.742,85.531,8.5400
2026-04-15,CPMAD-INV-04.,16,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-04.,17,58.0556,6.040252,78.782,85.576,9.7600
2026-04-15,CPMAD-INV-04.,18,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-04.,19,57.8527,6.040252,78.507,85.276,8.5400
2026-04-15,CPMAD-INV-04.,20,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-04.,21,58.6445,6.040252,79.582,86.444,9.1500
2026-04-15,CPMAD-INV-04.,22,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-04.,23,0.0000,6.040252,0.000,0.000,9.1500
2026-04-15,CPMAD-INV-04.,24,0.0000,6.040252,,0.000,
2026-04-15,CPMAD-INV-05.,1,34.2078,6.040252,46.421,50.423,12.2000
2026-04-15,CPMAD-INV-05.,2,0.0000,6.040252,0.000,0.000,
2026-04-15,CPMAD-INV-05.,3,35.1093,6.040252,47.644,51.752,12.2000
