Site_Name,Site_Code,Month,GHI (kWh/m2),POA (kWh/m2),Energy Simulation (MWh),Energy Target (MWh),"Energy KPI (MWh)",Daily PR POA Target,Daily PR GHI Target
PLTS Mall Panakkukang,NE=53771627,October,190,4107476,190,1636319,181,5720696,181,5720696,181,5720696,0,766716779,0,767713119
PLTS Mall Panakkukang,NE=53771627,November,158,9149974,158,7070785,141,3137565,148,7331115,141,3137565,0,752523662,0,753509528
PLTS Mall Panakkukang,NE=53771627,December,132,054958,131,6759338,121,1039527,121,1039527,121,1039527,0,737362401,0,739484871
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,January,139,725984,138,6416,224,547858,224,547858,212,4447284,0,781263344,0,787373988
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,February,121,258109,120,278451,195,2004211,195,2004211,184,6791184,0,782592474,0,788966625
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,March,157,570925,156,1563,251,8715497,251,8715497,238,2956731,0,77708538,0,784125021
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,April,146,522994,145,247199,234,6661136,234,6661136,222,0176101,0,778592659,0,785431515
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,May,138,677077,137,599709,222,79444,222,79444,210,7858197,0,781025795,0,787141013
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,June,127,617836,126,65868,204,0603624,204,0603624,193,0615089,0,777343526,0,783230163
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,July,142,650242,141,587818,229,4416793,229,4416793,217,0747728,0,781925737,0,787793026
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,August,157,530913,156,41747,253,0956197,253,0956197,239,4537658,0,78106027,0,786620174
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,September,157,33788,156,343261,252,3747467,252,3747467,238,7717478,0,779791165,0,784752012
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,October,156,624823,155,577587,251,9628523,251,9628523,238,3820546,0,782062805,0,787327087
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,November,133,340007,132,423441,203,2214689,215,6459566,192,2678318,0,740925976,0,791666302
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,December,147,031024,145,668488,225,2471923,236,5996276,213,1063687,0,744759605,0,789612751
