source;site_id;site_name;inverter_id;inverter_name;inverter_no;mppt_no;string_no;module_qty;orient_code;is_active;commission_date;decommission_date;notes
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;4;7;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;4;8;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;5;9;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;5;10;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;6;11;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;6;12;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;7;13;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;7;14;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;8;15;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;8;16;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;9;17;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;9;18;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;10;19;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;10;20;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;11;21;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;11;22;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;12;23;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;12;24;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;5;1;1;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;5;1;2;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;5;2;3;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;5;2;4;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;5;3;5;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;5;3;6;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;5;4;7;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;5;4;8;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;5;5;9;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;5;5;10;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;5;6;11;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;5;6;12;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;5;7;13;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;5;7;14;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;5;8;15;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;5;8;16;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
