source;site_id;site_name;inverter_no;inverter_sn;inverter_id;inverter_name;inverter_ac_capacity_kw;inverter_model;inverter_manufacturer;inverter_dc_capacity_kw;mppt_count;is_active;valid_from;valid_to;notes
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;3;GR24A9027488;GR24A9027488;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;4;GR24B9001429;GR24B9001429;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;4;GR24B9001429;GR24B9001429;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;5;6T2479009797;6T2479009797;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;5;6T2479009797;6T2479009797;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;6;GR24A9006161;GR24A9006161;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;6;GR24A9006161;GR24A9006161;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;7;GR24B9001428;GR24B9001428;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;7;GR24B9001428;GR24B9001428;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;8;GR24A9022001;GR24A9022001;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;8;GR24A9022001;GR24A9022001;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;9;GR24A9022038;GR24A9022038;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;9;GR24A9022038;GR24A9022038;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;10;GR24A9022094;GR24A9022094;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;10;GR24A9022094;GR24A9022094;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;11;GR24A9022048;GR24A9022048;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;11;GR24A9022048;GR24A9022048;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;12;6T2479009782;6T2479009782;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;12;6T2479009782;6T2479009782;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;13;GR24B9001432;GR24B9001432;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;13;GR24B9001432;GR24B9001432;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;14;GR24A9027472;GR24A9027472;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;14;GR24A9027472;GR24A9027472;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;15;GR24B9001421;GR24B9001421;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;15;GR24B9001421;GR24B9001421;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;16;6T2489046655;6T2489046655;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;16;6T2489046655;6T2489046655;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;17;GR24B9001386;GR24B9001386;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;17;GR24B9001386;GR24B9001386;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;18;GR24A9027482;GR24A9027482;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;18;GR24A9027482;GR24A9027482;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;19;GR24B9001364;GR24B9001364;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;19;GR24B9001364;GR24B9001364;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;20;GR24B9001413;GR24B9001413;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;20;GR24B9001413;GR24B9001413;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;21;GR24B9026211;GR24B9026211;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;21;GR24B9026211;GR24B9026211;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;22;6T2489048832;6T2489048832;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;22;6T2489048832;6T2489048832;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;23;GR24B9001435;GR24B9001435;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;23;GR24B9001435;GR24B9001435;;;;;;;True;;;
dim_assets_auto;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;24;GR24B9001363;GR24B9001363;;;;;;;True;;;
FusionSolar;NE=58630782;PT. MMKI 4.292 MWP - Phase 3;24;GR24B9001363;GR24B9001363;;;;;;;True;;;
dim_assets_auto;NE=60951882;NE=60951882;13;102575100376;102575100376;;;;;;;True;;;
dim_assets_auto;NE=61847068;PT Gelora Djaja 1 MWp;1;ES2550107337;ES2550107337;;;;;;;True;;;
dim_assets_auto;NE=61847068;PT Gelora Djaja 1 MWp;2;ES2550107300;ES2550107300;;;;;;;True;;;
dim_assets_auto;NE=61847068;PT Gelora Djaja 1 MWp;3;ES2550107309;ES2550107309;;;;;;;True;;;
dim_assets_auto;NE=61847068;PT Gelora Djaja 1 MWp;4;ES2550107302;ES2550107302;;;;;;;True;;;
dim_assets_auto;NE=61847068;PT Gelora Djaja 1 MWp;5;ES2550107307;ES2550107307;;;;;;;True;;;
dim_assets_auto;NE=61847068;PT Gelora Djaja 1 MWp;6;ES2550152915;ES2550152915;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;1;ES2550107320;ES2550107320;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;1;ES2550107320;ES2550107320;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;2;ES2550107313;ES2550107313;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;2;ES2550107313;ES2550107313;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;3;ES2550107514;ES2550107514;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;3;ES2550107514;ES2550107514;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;4;ES2550107312;ES2550107312;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;4;ES2550107312;ES2550107312;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;5;ES2550107326;ES2550107326;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;5;ES2550107326;ES2550107326;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;6;ES2550107311;ES2550107311;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;6;ES2550107311;ES2550107311;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;7;ES2550107327;ES2550107327;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;7;ES2550107327;ES2550107327;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;8;ES2550107535;ES2550107535;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;8;ES2550107535;ES2550107535;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;9;ES2550107323;ES2550107323;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;9;ES2550107323;ES2550107323;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;10;ES2550107303;ES2550107303;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;10;ES2550107303;ES2550107303;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;11;ES2550107304;ES2550107304;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;11;ES2550107304;ES2550107304;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;12;ES2550107306;ES2550107306;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;12;ES2550107306;ES2550107306;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;13;ES2550107321;ES2550107321;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;13;ES2550107321;ES2550107321;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;14;ES2550107335;ES2550107335;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;14;ES2550107335;ES2550107335;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;15;ES2550107533;ES2550107533;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;15;ES2550107533;ES2550107533;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;16;ES2550107324;ES2550107324;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;16;ES2550107324;ES2550107324;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;17;ES2550107329;ES2550107329;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;17;ES2550107329;ES2550107329;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;18;ES2550107322;ES2550107322;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;18;ES2550107322;ES2550107322;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;19;ES2550107328;ES2550107328;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;19;ES2550107328;ES2550107328;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;20;ES2550152923;ES2550152923;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;20;ES2550152923;ES2550152923;;;;;;;True;;;
dim_assets_auto;NE=62806354;PLTS ONGRID PT SUPARMA TBK;21;ES2550107318;ES2550107318;;;;;;;True;;;
FusionSolar;NE=62806354;PLTS ONGRID PT SUPARMA TBK;21;ES2550107318;ES2550107318;;;;;;;True;;;
