source;site_id;site_name;inverter_no;inverter_sn;inverter_id;inverter_name;inverter_ac_capacity_kw;inverter_model;inverter_manufacturer;inverter_dc_capacity_kw;mppt_count;is_active;valid_from;valid_to;notes
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;16;ES23C0063664;ES23C0063664;;;;;;;True;;;
dim_assets_auto;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;17;ES23C0063602;ES23C0063602;;;;;;;True;;;
FusionSolar;NE=51758766;PT. MMKI 5.7 MWp - Phase 2;17;ES23C0063602;ES23C0063602;;;;;;;True;;;
dim_assets_auto;NE=53771627;PLTS Mall Panakkukang;1;6T2379007580;6T2379007580;;;;;;;True;;;
fusionsolar_auto;NE=53771627;PLTS Mall Panakkukang;1;6T2379007580;6T2379007580;;;;;;;True;;;
dim_assets_auto;NE=53771627;PLTS Mall Panakkukang;2;6T2379007554;6T2379007554;;;;;;;True;;;
fusionsolar_auto;NE=53771627;PLTS Mall Panakkukang;2;6T2379007554;6T2379007554;;;;;;;True;;;
dim_assets_auto;NE=53771627;PLTS Mall Panakkukang;3;6T2379017410;6T2379017410;;;;;;;True;;;
fusionsolar_auto;NE=53771627;PLTS Mall Panakkukang;3;6T2379017410;6T2379017410;;;;;;;True;;;
dim_assets_auto;NE=53771627;PLTS Mall Panakkukang;4;6T2379016740;6T2379016740;;;;;;;True;;;
fusionsolar_auto;NE=53771627;PLTS Mall Panakkukang;4;6T2379016740;6T2379016740;;;;;;;True;;;
dim_assets_auto;NE=53771627;PLTS Mall Panakkukang;5;6T2379017158;6T2379017158;;;;;;;True;;;
fusionsolar_auto;NE=53771627;PLTS Mall Panakkukang;5;6T2379017158;6T2379017158;;;;;;;True;;;
dim_assets_auto;NE=53771627;PLTS Mall Panakkukang;6;6T2379008229;6T2379008229;;;;;;;True;;;
fusionsolar_auto;NE=53771627;PLTS Mall Panakkukang;6;6T2379008229;6T2379008229;;;;;;;True;;;
dim_assets_auto;NE=53771627;PLTS Mall Panakkukang;7;6T2379017426;6T2379017426;;;;;;;True;;;
fusionsolar_auto;NE=53771627;PLTS Mall Panakkukang;7;6T2379017426;6T2379017426;;;;;;;True;;;
dim_assets_auto;NE=53771627;PLTS Mall Panakkukang;8;6T2379016755;6T2379016755;;;;;;;True;;;
fusionsolar_auto;NE=53771627;PLTS Mall Panakkukang;8;6T2379016755;6T2379016755;;;;;;;True;;;
dim_assets_auto;NE=53771627;PLTS Mall Panakkukang;9;6T2379008251;6T2379008251;;;;;;;True;;;
fusionsolar_auto;NE=53771627;PLTS Mall Panakkukang;9;6T2379008251;6T2379008251;;;;;;;True;;;
dim_assets_auto;NE=53771627;PLTS Mall Panakkukang;10;6T2379017166;6T2379017166;;;;;;;True;;;
fusionsolar_auto;NE=53771627;PLTS Mall Panakkukang;10;6T2379017166;6T2379017166;;;;;;;True;;;
dim_assets_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;1;6T2499011624;6T2499011624;;;;;;;True;;;
fusionsolar_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;1;6T2499011624;6T2499011624;;;;;;;True;;;
dim_assets_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;2;6T2499004894;6T2499004894;;;;;;;True;;;
fusionsolar_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;2;6T2499004894;6T2499004894;;;;;;;True;;;
dim_assets_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;3;6T2499004898;6T2499004898;;;;;;;True;;;
fusionsolar_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;3;6T2499004898;6T2499004898;;;;;;;True;;;
dim_assets_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;4;6T2499004896;6T2499004896;;;;;;;True;;;
fusionsolar_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;4;6T2499004896;6T2499004896;;;;;;;True;;;
dim_assets_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;5;6T2499004882;6T2499004882;;;;;;;True;;;
fusionsolar_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;5;6T2499004882;6T2499004882;;;;;;;True;;;
dim_assets_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;6;6T2499011611;6T2499011611;;;;;;;True;;;
fusionsolar_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;6;6T2499011611;6T2499011611;;;;;;;True;;;
dim_assets_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;7;6T24A9036297;6T24A9036297;;;;;;;True;;;
fusionsolar_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;7;6T24A9036297;6T24A9036297;;;;;;;True;;;
dim_assets_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;8;6T2499011643;6T2499011643;;;;;;;True;;;
fusionsolar_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;8;6T2499011643;6T2499011643;;;;;;;True;;;
dim_assets_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;9;6T2499004921;6T2499004921;;;;;;;True;;;
fusionsolar_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;9;6T2499004921;6T2499004921;;;;;;;True;;;
dim_assets_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;10;6T2499011617;6T2499011617;;;;;;;True;;;
fusionsolar_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;10;6T2499011617;6T2499011617;;;;;;;True;;;
dim_assets_auto;NE=54435794;PT. Pusan Manis Mulia 2.06 MWp - Tangerang;11;6T2499004897;6T2499004897;;;;;;;True;;;
