date_key,site_name,inverter_name,string_number,daily_ghi_kwh_m2,daily_poa_kwh_m2,pr_ghi_string,pr_poa_string,pr_string,pr_pct
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,19,4.972309,4.6697163,0.48702255357502644,0.5185811023132361,0.5185811023132361,51.85811023132361
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,20,4.972309,4.6697163,0.4568663556919534,0.486470814555544,0.486470814555544,48.6470814555544
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,21,4.972309,4.6697163,0.31544494207064877,0.33588544221891287,0.33588544221891287,33.58854422189129
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-04,1,4.972309,4.6697163,0.6895988406000867,0.7342841194668243,0.7342841194668243,73.42841194668243
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-04,2,4.972309,4.6697163,0.6844796940437033,0.7288332576029839,0.7288332576029839,72.88332576029839
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-04,3,4.972309,4.6697163,0.0,0.0,0.0,0.0
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-04,4,4.972309,4.6697163,0.6671316547669897,0.7103610836450163,0.7103610836450163,71.03610836450163
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-04,5,4.972309,4.6697163,0.6481903859524712,0.6901924405525334,0.6901924405525334,69.01924405525334
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-04,7,4.972309,4.6697163,0.5878839627798718,0.6259782246484699,0.6259782246484699,62.597822464846985
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-04,8,4.972309,4.6697163,0.6009552290668222,0.63989649522949,0.63989649522949,63.989649522949
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-04,10,4.972309,4.6697163,0.5830676533422562,0.6208498234298689,0.6208498234298689,62.08498234298689
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-04,11,4.972309,4.6697163,0.5845514461524146,0.6224297644520004,0.6224297644520004,62.242976445200036
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-04,12,4.972309,4.6697163,0.0,0.0,0.0,0.0
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-04,13,4.972309,4.6697163,0.5884125677191011,0.6265410826312502,0.6265410826312502,62.65410826312502
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-04,14,4.972309,4.6697163,0.5793722884790222,0.616915002813948,0.616915002813948,61.691500281394795
