Site_Name;Site_Code;Week;Month;Date;GHI;POA;Energy Simulation (MW);Energy Target (MW);Daily PR POA Simulation;Daily PR POA Target;GHI vs POA;Daily PR GHI Simulation;Daily PR GHI Target
Garuda Metalindo 1;1458125;W4;April;23/04/2025;6.06;5.93;3.270738384;3.270738384;0.788897813;0.788897813;0.13;0.771974263;0.771974263
Garuda Metalindo 1;1458125;W4;April;24/04/2025;3.77;3.68;2.128374747;2.128374747;0.827236935;0.827236935;0.09;0.807488573;0.807488573
Garuda Metalindo 1;1458125;W4;April;25/04/2025;2.99;2.9;1.681968687;1.681968687;0.82956333;0.82956333;0.09;0.804593197;0.804593197
Garuda Metalindo 1;1458125;W4;April;26/04/2025;5.37;5.25;2.961635354;2.961635354;0.806866938;0.806866938;0.12;0.788836392;0.788836392
Garuda Metalindo 1;1458125;W4;April;27/04/2025;3.25;3.15;1.838837374;1.838837374;0.834953724;0.834953724;0.1;0.809262841;0.809262841
Garuda Metalindo 1;1458125;W5;April;28/04/2025;3.87;3.77;2.173158586;2.173158586;0.824479208;0.824479208;0.1;0.803174836;0.803174836
Garuda Metalindo 1;1458125;W5;April;29/04/2025;5;4.89;2.798919192;2.798919192;0.818674266;0.818674266;0.11;0.800663432;0.800663432
Garuda Metalindo 1;1458125;W5;April;30/04/2025;5.43;5.31;2.996753535;2.996753535;0.807209275;0.807209275;0.12;0.789370396;0.789370396
Garuda Metalindo 1;1458125;W1;May;01/05/2025;5.15;5.04;0;2.812555007;0;0.798178686;0.11;0;0.781130209
Garuda Metalindo 1;1458125;W1;May;02/05/2025;5.44;5.32;2.609811111;2.968808063;0.701660585;0.798178686;0.12;0.686182778;0.780571803
Garuda Metalindo 1;1458125;W1;May;03/05/2025;6.03;5.9;3.257279798;3.257279798;0.789646459;0.789646459;0.13;0.772622572;0.772622572
Garuda Metalindo 1;1458125;W1;May;04/05/2025;6.29;6.15;3.35979596;3.35979596;0.781389239;0.781389239;0.14;0.763997427;0.763997427
Garuda Metalindo 1;1458125;W2;May;05/05/2025;6.27;6.13;3.341589899;3.341589899;0.779690626;0.779690626;0.14;0.762281266;0.762281266
Garuda Metalindo 1;1458125;W2;May;06/05/2025;6.47;6.32;3.41749697;3.41749697;0.773429438;0.773429438;0.15;0.755498307;0.755498307
Garuda Metalindo 1;1458125;W2;May;07/05/2025;5.59;5.47;3.046657576;3.046657576;0.796647058;0.796647058;0.12;0.779545511;0.779545511
Garuda Metalindo 1;1458125;W2;May;08/05/2025;4.45;4.34;2.497063636;2.497063636;0.822942551;0.822942551;0.11;0.802600151;0.802600151
Garuda Metalindo 1;1458125;W2;May;09/05/2025;2.92;2.84;1.645208081;1.645208081;0.828575585;0.828575585;0.08;0.805874884;0.805874884
Garuda Metalindo 1;1458125;W2;May;10/05/2025;3.28;3.19;1.848470707;1.848470707;0.828803407;0.828803407;0.09;0.80606185;0.80606185
Garuda Metalindo 1;1458125;W2;May;11/05/2025;2.45;2.37;1.374766667;1.374766667;0.829679358;0.829679358;0.08;0.802587788;0.802587788
Garuda Metalindo 1;1458125;W3;May;12/05/2025;5.74;5.62;3.138336364;3.138336364;0.798716785;0.798716785;0.12;0.782018873;0.782018873
Garuda Metalindo 1;1458125;W3;May;13/05/2025;6.14;6;3.293069697;3.293069697;0.785017449;0.785017449;0.14;0.767118028;0.767118028
Garuda Metalindo 1;1458125;W3;May;14/05/2025;4.52;4.41;2.531817172;2.531817172;0.821151687;0.821151687;0.11;0.801167907;0.801167907
Garuda Metalindo 1;1458125;W3;May;15/05/2025;4.71;4.6;2.620407071;2.620407071;0.814780392;0.814780392;0.11;0.795751551;0.795751551
Garuda Metalindo 1;1458125;W3;May;16/05/2025;2.54;2.46;1.424516162;1.424516162;0.828250891;0.828250891;0.08;0.802164249;0.802164249
Garuda Metalindo 1;1458125;W3;May;17/05/2025;4.33;4.22;2.424949495;2.424949495;0.821901712;0.821901712;0.11;0.801021992;0.801021992
Garuda Metalindo 1;1458125;W3;May;18/05/2025;4.48;4.38;2.511120202;2.511120202;0.820017328;0.820017328;0.1;0.801713369;0.801713369
Garuda Metalindo 1;1458125;W4;May;19/05/2025;5.73;5.61;3.121189899;3.121189899;0.795768913;0.795768913;0.12;0.779103596;0.779103596
Garuda Metalindo 1;1458125;W4;May;20/05/2025;5.53;5.42;3.019449495;3.019449495;0.796816138;0.796816138;0.11;0.780966269;0.780966269
Garuda Metalindo 1;1458125;W4;May;21/05/2025;2.39;2.31;1.3308;1.3308;0.824006145;0.824006145;0.08;0.796424349;0.796424349
