Site_Name,Site_Code,Year,"Energy TS 
(MWh)","Energy Sim Target 
(MWh)",,,
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,25,2176,9,2176,9,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,1,7780,8,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,2,7747,87,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,3,7710,5,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,4,7668,8,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,5,7622,7,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,6,7569,1,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,7,7508,4,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,8,7446,3,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,9,7384,3,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,10,7325,8,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,11,7285,9,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,12,7263,1,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,13,7238,6,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,14,7207,3,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,15,7165,4,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,16,7084,7,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,17,6968,2,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,18,6842,8,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,19,6716,3,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,20,6595,3,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,21,6504,7,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,22,6446,2,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,23,6396,2,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,24,6348,6,,,,
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,25,6301,2,,,,
PLTS Mall Panakkukang,NE=53771627,1,1774,356,1774,356,,,
PLTS Mall Panakkukang,NE=53771627,2,1767,8,1767,8,,,
PLTS Mall Panakkukang,NE=53771627,3,1760,38,1760,38,,,
PLTS Mall Panakkukang,NE=53771627,4,1752,12,1752,12,,,
PLTS Mall Panakkukang,NE=53771627,5,1743,01,1743,01,,,
PLTS Mall Panakkukang,NE=53771627,6,1732,46,1732,46,,,
PLTS Mall Panakkukang,NE=53771627,7,1720,63,1720,63,,,
PLTS Mall Panakkukang,NE=53771627,8,1708,4,1708,4,,,
PLTS Mall Panakkukang,NE=53771627,9,1696,06,1696,06,,,
PLTS Mall Panakkukang,NE=53771627,10,1683,9,1683,9,,,
PLTS Mall Panakkukang,NE=53771627,11,1672,88,1672,88,,,
PLTS Mall Panakkukang,NE=53771627,12,1663,1,1663,1,,,
PLTS Mall Panakkukang,NE=53771627,13,1653,85,1653,85,,,
PLTS Mall Panakkukang,NE=53771627,14,1645,09,1645,09,,,
PLTS Mall Panakkukang,NE=53771627,15,1636,77,1636,77,,,
PLTS Mall Panakkukang,NE=53771627,16,1629,45,1629,45,,,
PLTS Mall Panakkukang,NE=53771627,17,1622,94,1622,94,,,
PLTS Mall Panakkukang,NE=53771627,18,1616,3,1616,3,,,
PLTS Mall Panakkukang,NE=53771627,19,1609,19,1609,19,,,
PLTS Mall Panakkukang,NE=53771627,20,1601,29,1601,29,,,
PLTS Mall Panakkukang,NE=53771627,21,1591,19,1591,19,,,
PLTS Mall Panakkukang,NE=53771627,22,1578,85,1578,85,,,
PLTS Mall Panakkukang,NE=53771627,23,1565,55,1565,55,,,
PLTS Mall Panakkukang,NE=53771627,24,1551,51,1551,51,,,
PLTS Mall Panakkukang,NE=53771627,25,1536,92,1536,92,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,1,2600,341,2748,484304,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,2,2591,2738,61114,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,3,2580,2726,984463,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,4,2568,2714,300814,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,5,2554,2699,503224,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,6,2538,2682,591692,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,7,2519,2662,509248,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,8,2500,2642,426805,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,9,2481,2622,344361,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,10,2462,2602,261917,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,11,2446,2585,350386,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,12,2431,2569,495825,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,13,2418,2555,755206,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,14,2405,2542,014586,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,15,2392,2528,273967,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,16,2381,2516,647289,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,17,2370,2505,020611,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,18,2359,2493,393933,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,19,2347,2480,710284,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,20,2334,2466,969665,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,21,2317,2449,001163,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,22,2297,2427,861748,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,23,2275,2404,608392,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,24,2253,2381,355036,,,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,NE=54435794,25,2230,2357,04471,,,
